date;       start;  end;    breaks
#yyyy.mm.dd;hh:mm;  hh:mm;  minutes
2018.07.16; 08:30;  19:00;  90
2018.07.17; 08:15;  18:00;  120
2018.07.18; 08:15;  18:00;  70
2018.07.19; 08:15;  19:00;  110
2018.07.20; 08:30;  17:15;  90

2018.07.23; 08:50;  19:30;  100
2018.07.24; 08:40;  18:30;  100
2018.07.23; 09:00;  18:30;  100
2018.07.24; 08:50;  18:00;  80
2018.07.23; 09:00;  16:00;  60

2018.07.24; 08:55;  19:30;  70
2018.07.23; 08:40;  16:00;  60
2018.07.24; 09:30;  19:30;  110
2018.07.24; 08:25;  19:45;  80
2018.07.24; 09:00;  19:15;  90





















